temperature,pressure,humidity,x_acceleration,y_acceleration,z_acceleration,x_rotation,y_rotation,z_rotation,lux,gas_concentration
32.16999817,100276.1563,59.90722656,-2.274491549,0.04070143,10.08198357,-0.084335379,0.001865237,-0.01505513,31.25000191,4.810744811
32.13000107,100276.6484,59.97167969,-2.291250944,0.095768064,10.12268448,-0.085267991,-0.001332312,-0.017320061,42.96875,4.835164835
32.11999893,100273.7266,60.00390625,-2.248155355,0.062249243,10.10353088,-0.080071971,0.000399694,-0.014522205,41.015625,4.932844933
32.11000061,100275.1719,60.02636719,-2.30801034,0.114921682,10.13944435,-0.081271052,-0.001598775,-0.014788668,41.9921875,4.85958486
32.11000061,100275.7969,60.04882813,-2.353500366,0.117315881,10.10831928,-0.081937209,-0.001998469,-0.017986218,40.0390625,4.761904762
32.11000061,100273.4922,60.13085938,-2.255337954,0.110133275,10.11071396,-0.083535992,-0.004396631,-0.015188362,35.15625,4.932844933
32.11999893,100277.2813,60.109375,-2.341529369,0.143652096,10.0412817,-0.082203679,-0.002398162,-0.015454824,31.25000191,4.908424908
32.11999893,100273.7031,60.07519531,-2.252943754,0.16759412,10.13226128,-0.083802447,-0.001332312,-0.01612098,31.25000191,4.908424908
32.13999939,100274.8984,60.05371094,-2.279279947,0.124498487,10.0604353,-0.084868304,-0.001865237,-0.019318528,27.34375,4.908424908
32.15000153,100274.7266,60.00878906,-2.319981337,0.162805721,10.17535686,-0.082470134,-0.002398162,-0.016387442,24.4140625,4.884004884
32.15000153,100276.2813,59.99707031,-2.252943754,0.126892686,10.11550236,-0.082203679,-0.000932619,-0.016520673,21.484375,4.85958486
32.15000153,100276.1094,59.99707031,-2.245761156,0.086191259,10.01494598,-0.083003066,-0.002531394,-0.015588055,27.34375,4.908424908
32.13000107,100273.8828,60.08789063,-2.26730895,0.155623108,10.16817474,-0.08313629,-0.003863706,-0.015321592,32.2265625,4.85958486
32.13999939,100277.3203,60.07714844,-2.212242365,0.112527482,10.20887566,-0.080738127,-0.00106585,-0.017320061,36.1328125,4.85958486
32.13999939,100279.5938,60.09960938,-2.300827742,0.146046311,10.17775154,-0.081004597,-0.003597243,-0.015321592,40.0390625,4.932844933
32.11999893,100275.2031,60.08691406,-2.293645144,0.134075299,10.11789608,-0.082203679,-0.001732006,-0.016254211,41.9921875,4.884004884
32.11000061,100276.8438,60.15429688,-2.238578558,0.067037649,10.12986755,-0.082203679,-0.000399694,-0.01385605,58.59375,4.957264957
32.13000107,100277.5703,60.1328125,-2.30561614,0.105344877,10.16578007,-0.08207044,-0.001998469,-0.016520673,41.9921875,4.957264957
32.15000153,100277.4375,60.078125,-2.264914751,0.117315881,10.08198357,-0.08233691,-0.003464012,-0.016920367,33.203125,4.810744811
32.15999985,100277.8438,60.03222656,-2.379836559,0.081402861,10.19451046,-0.081404284,-0.002398162,-0.015987748,27.34375,4.835164835
32.16999817,100274.25,59.9765625,-2.336740971,0.122104287,10.12507915,-0.080871366,-0.005062787,-0.018519141,23.4375,4.932844933
32.18000031,100275.9063,59.95410156,-2.319981337,0.107739076,10.08437729,-0.082736596,-0.002264931,-0.017053599,29.296875,4.908424908
32.18000031,100276.9063,59.96582031,-2.288856745,0.126892686,10.08916569,-0.079405814,-0.002531394,-0.017453292,35.15625,4.85958486
32.11999893,100278.2031,60.00488281,-2.293645144,0.090979666,10.11071396,-0.084868304,-0.001998469,-0.016653905,42.96875,4.908424908
32.08000183,100278.0,60.11523438,-2.334346771,0.155623108,10.14423275,-0.083535992,-0.001998469,-0.016387442,40.0390625,4.957264957
32.08000183,100277.4844,60.12695313,-2.257732153,0.076614454,10.15859795,-0.083669223,-0.001998469,-0.01398928,41.015625,4.835164835
32.08000183,100273.7969,60.17382813,-2.319981337,0.138863698,10.04846478,-0.084335379,-0.006261868,-0.017586524,39.0625,4.85958486
32.11000061,100273.8984,60.16503906,-2.272097349,0.110133275,10.09874249,-0.08207044,-0.001732006,-0.015987748,33.203125,4.932844933
32.13000107,100275.3203,60.15625,-2.252943754,0.126892686,10.13226128,-0.080604896,0.002264931,-0.013056661,25.390625,4.932844933
32.13000107,100276.8203,60.13378906,-2.243366957,0.14844051,10.11310768,-0.080871366,-0.001199081,-0.01718683,22.4609375,4.908424908
32.08000183,100279.1563,60.15039063,-2.312798738,0.143652096,10.13944435,-0.084601834,-0.002398162,-0.014921899,31.25000191,4.835164835
32.04000092,100276.5625,60.20214844,-2.238578558,0.074220255,10.08677197,-0.07993874,0.002664625,-0.019052068,37.109375,4.85958486
32.06999969,100275.9531,60.1953125,-2.315192938,0.079008654,10.14662647,-0.084202148,-0.001598775,-0.014388974,41.9921875,4.932844933
32.09000015,100278.2969,60.12792969,-2.288856745,0.112527482,10.25197124,-0.086600304,-0.005062787,-0.018652374,40.0390625,4.85958486
32.09999847,100276.9688,60.11816406,-2.33913517,0.076614454,10.11310768,-0.083269522,-0.002264931,-0.014788668,33.203125,4.908424908
